
PAW Database : abra.z80

Extracted by UNPAWS32 v2.1

General data
------------

Locations                           34
                 PAUSE        200
                 GOTO          29
                 DESC        

O     _          AT            21
                 EQ            18   0
                 MES           56
                 DONE        

O     _          AT            21
                 GOTO          20
                 DESC        

O     _          AT             5
                 MES           55
                 DONE        

O     _          AT            29
                 EQ            22   0
                 MES           55
                 DONE        

O     _          AT            29
                 GOTO           9
                 DESC        

N     _          AT            11
                 MES           55
                 DONE        

N     _          AT            30
                 MES           60
                 MES           63
                 LET           23   0
                 PAUSE        200
                 GOTO           9
                 DESC        

I     _          SYSMESS        9
                 LISTAT       254
                 DONE        

COGE  TODO       DOALL        255

COGE  MOSCA      EQ            12   1
                 MES           82
                 LET           12   0
                 DONE        

COGE  PAPIR      NOUN2         64
                 PRESENT       17
                 EQ            26   0
                 LET           26   1
                 CREATE         9
                 GET            9
                 DONE        

COGE  POCIM      AT            30
                 MES           81
                 DONE        

COGE  POLVO      NOUN2         75
                 PRESENT        3
                 EQ            61   1
                 EQ            60   0
                 CREATE         4
                 GET            4
                 LET           60   1
                 DONE        

COGE  POLVO      NOUN2         75
                 EQ            60   1
                 MES          108
                 DONE        

COGE  ARANA      AT             8
                 EQ            20   1
                 MES           86
                 MES           53
                 GRAPHIC        0
                 END         

COGE  ARANA      AT             8
                 EQ            20   2
                 CREATE         5
                 GET            5
                 LET           20   3
                 DONE        

COGE  RATA       AT             4
                 EQ            21   1
                 MES           72
                 LET           21   0
                 DONE        

COGE  LIBRO      NOUN2         87
                 GET           16
                 DONE        

COGE  LIBRO      NOUN2         88
                 GET           17
                 DONE        

COGE  LIBRO      MES          101
                 DONE        

COGE  MONED      AT             7
                 EQ            24   0
                 LET           24   1
                 CREATE         2
                 GET            2
                 DONE        

COGE  QUESO      AT             4
                 EQ            21   1
                 MES           72
                 LET           21   0
                 DONE        

COGE  ALCE       MES          161
                 DONE        

COGE  LUZ        MES          161
                 DONE        

COGE  ARMAD      MES          161
                 DONE        

COGE  ESCUD      MES          161
                 DONE        

COGE  BANDE      MES          161
                 DONE        

COGE  COLCH      MES          161
                 DONE        

COGE  MUEBL      MES          161
                 DONE        

COGE  _          AUTOG       
                 DONE        

PON   *          AT            23
                 MES           80
                 DONE        

PON   TODO       DOALL        254

PON   MOSCA      PROCESS       15
                 DONE        

PON   RATA       AT            19
                 CARRIED       11
                 DESTROY       11
                 MES           74
                 CREATE         7
                 DONE        

PON   LIBRO      NOUN2         88
                 PRESENT       17
                 DROP          17
                 DONE        

PON   LIBRO      NOUN2         87
                 DROP          16
                 DONE        

PON   QUESO      AT             4
                 LET           21   1
                 DESTROY       12
                 MES           75
                 DONE        

PON   OLLA       PREP           4
                 AT            30
                 PROCESS       19
                 DONE        

PON   _          PREP           4
                 NOUN2         83
                 AT            30
                 PROCESS       19
                 DONE        

PON   _          AUTOD       
                 DONE        

QUITA TODO       DOALL        253

QUITA _          AUTOR       
                 DONE        

R     _          DESC        

STOP  _          GRAPHIC        1
                 QUIT        
                 END         

SAVE  _          SAVE        

LOAD  _          LOAD        

RAMSA _          RAMSAVE     
                 OK          
                 DONE        

RAMLO _          RAMLOAD      255
                 DESC        
                 DONE        

LEE   TROCK      AT            17
                 MES          144
                 DONE        

LEE   CURA       AT            26
                 MES          153
                 DONE        

LEE   REY        AT            28
                 MES          156
                 DONE        

LEE   SATAN      AT            23
                 MES          149
                 DONE        

LEE   RAMSU      AT            19
                 MES          147
                 DONE        

LEE   PETRU      AT            21
                 MES          148
                 DONE        

LEE   MOSCA      EQ            12   1
                 MES          128
                 DONE        

LEE   MOSCA      PRESENT       10
                 MES          128
                 DONE        

LEE   BOLA       AT            17
                 MES          145
                 DONE        

LEE   CRUZ       PRESENT        1
                 MES           35
                 DONE        

LEE   ANILL      PRESENT        3
                 MES           37
                 DONE        

LEE   ANILL      PRESENT        1
                 MES           35
                 DONE        

LEE   PAPIR      ABSENT         9
                 SYSMESS       28
                 DONE        

LEE   PAPIR      ADVERB       145
                 LT            38  19
                 MES           42
                 DONE        

LEE   PAPIR      ADVERB       145
                 GT            38  23
                 MES           42
                 DONE        

LEE   PAPIR      ADVERB       145
                 MES          106
                 DONE        

LEE   PAPIR      MES           41
                 DONE        

LEE   ARANA      PRESENT        5
                 MES           39
                 DONE        

LEE   COLMI      PRESENT        7
                 MES           40
                 DONE        

LEE   LIBRO      PREP          10
                 AT            29
                 MES           64
                 DONE        

LEE   LIBRO      NOUN2         88
                 PRESENT       17
                 PROCESS       18
                 DONE        

LEE   LIBRO      NOUN2         87
                 PRESENT       16
                 MES           99
                 DONE        

LEE   LIBRO      PRESENT       16
                 MES          101
                 DONE        

LEE   LIBRO      PRESENT       17
                 MES          101
                 DONE        

LEE   LIBRO      AT            29
                 MES          158
                 DONE        

LEE   DICCI      PRESENT       18
                 MES           98
                 DONE        

LEE   CADEN      PRESENT       20
                 MES           45
                 DONE        

LEE   MONED      PRESENT        2
                 MES           36
                 DONE        

LEE   QUESO      PRESENT       12
                 MES           43
                 DONE        

LEE   PELOS      PRESENT       14
                 MES           44
                 DONE        

LEE   PUERT      GT            38  17
                 LT            38  24
                 MES          116
                 DONE        

LEE   PUERT      MES          115
                 DONE        

LEE   DIAMA      PREP           4
                 PRESENT        3
                 EQ            60   0
                 MES          107
                 DONE        

LEE   DIAMA      PREP           4
                 PRESENT        3
                 EQ            60   1
                 MES          108
                 DONE        

LEE   DIAMA      PRESENT        3
                 MES           38
                 DONE        

LEE   ALCE       PROCESS       11
                 DONE        

LEE   BOCA       PREP           4
                 NOUN2         79
                 PROCESS        9
                 DONE        

LEE   BOCA       NOUN2         79
                 PROCESS        9
                 DONE        

LEE   LENGU      PREP           8
                 PROCESS       10
                 DONE        

LEE   OLLA       PREP           4
                 AT            30
                 MES           78
                 LISTAT        32
                 DONE        

LEE   OLLA       AT            30
                 MES           45
                 MES           79
                 DONE        

LEE   OLLA       AT            23
                 MES           45
                 DONE        

LEE   TELA       AT             8
                 MES          139
                 DONE        

LEE   BARRI      GT            38  16
                 LT            38  19
                 MES          146
                 DONE        

LEE   BARRI      GT            38  16
                 LT            38  19
                 MES          146
                 DONE        

LEE   LUZ        GT            38  16
                 LT            38  24
                 MES          137
                 DONE        

LEE   LUZ        MES          136
                 DONE        

LEE   RANUR      MES          125
                 DONE        

LEE   SUELO      GT            38  16
                 LT            38  23
                 MES          122
                 DONE        

LEE   SUELO      MES          121
                 DONE        

LEE   PARED      MES          130
                 DONE        

LEE   ARMAD      GT            38   3
                 LT            38   7
                 MES          138
                 DONE        

LEE   ARMAD      AT            12
                 MES          138
                 DONE        

LEE   ESCUD      GT            38   0
                 LT            38   4
                 MES          135
                 DONE        

LEE   ESCUD      AT            11
                 MES          135
                 DONE        

LEE   CARCO      MES          119
                 DONE        

LEE   ESCOR      MES          126
                 DONE        

LEE   ARCO       MES          127
                 DONE        

LEE   TECHO      MES          120
                 DONE        

LEE   SALA       DESC        

LEE   VENTA      GT            38   5
                 LT            38   9
                 MES          134
                 DONE        

LEE   VENTA      AT             2
                 MES          134
                 DONE        

LEE   VENTA      AT            13
                 MES          134
                 DONE        

LEE   BANDE      AT            28
                 MES          140
                 DONE        

LEE   BANDE      GT            38   8
                 LT            38  11
                 MES          140
                 DONE        

LEE   ESCAL      GT            38   9
                 LT            38  17
                 MES          142
                 DONE        

LEE   MADER      AT            14
                 MES          143
                 DONE        

LEE   CAMA       GT            38  23
                 LT            38  26
                 MES          150
                 DONE        

LEE   COLCH      GT            38  23
                 LT            38  26
                 MES          151
                 DONE        

LEE   ALTAR      AT            26
                 MES          154
                 DONE        

LEE   MESA       GT            38  26
                 LT            38  30
                 MES          155
                 DONE        

LEE   MESA       AT             5
                 MES          155
                 DONE        

LEE   ESTAN      AT            30
                 MES          159
                 DONE        

LEE   MUEBL      GT            38  24
                 LT            38  26
                 MES          152
                 DONE        

LEE   TUNIC      AT            28
                 MES          157
                 DONE        

LEE   _          MES           92
                 DONE        

DI    SALIG      AT            30
                 PROCESS        7
                 DONE        

DI    TROCK      AT            17
                 PROCESS        3
                 DONE        

DI    CURA       AT            26
                 PROCESS        4
                 DONE        

DI    REY        AT            28
                 PROCESS        5
                 DONE        

DI    SATAN      AT            23
                 MES           54
                 DONE        

DI    RAMSU      AT            19
                 PROCESS       13

DI    PETRU      AT            21
                 PROCESS        6
                 DONE        

DI    _          MES           47
                 DONE        

AYUDA _          MES          133
                 DONE        

MATA  ARANA      AT             8
                 EQ            20   1
                 LET           20   2
                 MES           84
                 DONE        

MATA  ARANA      GT            20   1
                 MES           88
                 DONE        

MATA  RATA       PROCESS       12
                 DONE        

MATA  DOS        AT            18
                 NOUN2         86
                 MES          100
                 PAUSE        100
                 GOTO          14
                 DESC        

MATA  _          MES          114
                 DONE        

COME  MOSCA      PRESENT       10
                 MES          110
                 DESTROY       10
                 DONE        

COME  POCIM      AT            30
                 EQ            27   4
                 GOTO          33
                 DESC        

COME  ARANA      PRESENT        5
                 MES          110
                 DESTROY        5
                 DONE        

COME  QUESO      PRESENT       12
                 MES          110
                 DESTROY       12
                 DONE        

ABRE  ANILL      PRESENT        3
                 EQ            61   0
                 LET           61   1
                 MES          110
                 DONE        

ABRE  ANILL      PRESENT        3
                 EQ            61   1
                 MES          109
                 DONE        

ABRE  DIAMA      PRESENT        3
                 EQ            61   0
                 LET           61   1
                 MES          110
                 DONE        

ABRE  DIAMA      PRESENT        3
                 EQ            61   1
                 MES          110
                 DONE        

CIERR ANILL      PRESENT        3
                 EQ            61   1
                 LET           61   0
                 MES          110
                 DONE        

CIERR ANILL      PRESENT        3
                 EQ            61   0
                 MES          109
                 DONE        

CIERR DIAMA      PRESENT        3
                 EQ            61   1
                 LET           61   0
                 MES          110
                 DONE        

CIERR DIAMA      PRESENT        3
                 EQ            61   1
                 LET           61   0
                 MES          109
                 DONE        

REMOV POCIM      PREP          11
                 NOUN2         63
                 AT            30
                 PRESENT       15
                 EQ            27   3
                 LET           27   4
                 MES          105
                 DESTROY        6
                 DESTROY        8
                 DESTROY       14
                 DESTROY       22
                 CREATE        23
                 PUTO          32
                 DONE        

REMOV POCIM      PREP          11
                 NOUN2         63
                 PRESENT       15
                 LT            27   3
                 MES          111
                 DONE        

REMOV POCIM      PREP          11
                 NOUN2         63
                 EQ            27   4
                 MES          112
                 DONE        

REMOV POCIM      PREP          11
                 AT            30
                 SYSMESS       28
                 DONE        

REMOV POCIM      AT            30
                 MES           70
                 DONE        

MODO  *          EQ            14   2
                 LET           14   3
                 GRAPHIC        2
                 MODE           3   1
                 DESC        
                 OK          
                 DONE        

MODO  *          EQ            14   3
                 LET           14   2
                 GRAPHIC        1
                 MODE           1   1
                 DESC        
                 OK          
                 DONE        

ENTRA TUNEL      AT            22
                 GOTO          23
                 DESC        

TIRA  PALAN      AT            29
                 EQ            22   0
                 LET           22   1
                 MES           60
                 MES           62
                 DONE        

TIRA  PALAN      AT            29
                 LET           22   0
                 MES           63
                 DONE        

TIRA  CUERN      AT             9
                 EQ            23   0
                 LET           23   1
                 MES           60
                 MES           61
                 DONE        

TIRA  CUERN      AT             9
                 EQ            23   1
                 LET           23   0
                 MES           60
                 MES           63
                 DONE        

TRITU COLMI      PREP          11
                 NOUN2         82
                 PRESENT        7
                 PRESENT       21
                 DESTROY        7
                 CREATE         8
                 PUTO         254
                 MES           60
                 DONE        

TRITU COLMI      PREP          11
                 NOUN2         82
                 PRESENT        7
                 ABSENT        21
                 MES           70
                 DONE        

TRITU COLMI      PREP          11
                 NOUN2         82
                 ABSENT         7
                 SYSMESS       28
                 DONE        

TRITU COLMI      MES           70
                 DONE        

ALZA  PATAS      CARRIED        5
                 MES           85
                 DESTROY        5
                 CREATE         6
                 PUTO         254
                 DONE        

ALZA  PATAS      NOUN2         57
                 AT             8
                 LT            20   2
                 MES           86
                 MES           53
                 GRAPHIC        1
                 END         

ALZA  PELOS      AT            23
                 EQ            23   0
                 LET           23   1
                 MES           76
                 CREATE        14
                 PUTO         254
                 DONE        

ALZA  PELOS      AT            23
                 MES           77
                 DONE        

ALZA  BANDE      AT            10
                 MES          141
                 DONE        

D     _          PROCESS       16

CALEN PAPIR      PREP          11
                 NOUN2         89
                 PRESENT        9
                 LT            38  18
                 MES           42
                 DONE        

CALEN PAPIR      PREP          11
                 NOUN2         89
                 PRESENT        9
                 GT            38  23
                 MES           42
                 DONE        

CALEN PAPIR      ABSENT         9
                 SYSMESS       28
                 DONE        

CALEN PAPIR      MES           70
                 DONE        

BUSCA DICCI      PREP           4
                 PRESENT       18
                 PROCESS       17
                 DONE        

_     _          SYSMESS        8
                 DONE        


--------------------------------------------------------------------------

PROCESS   1
-----------
*     *          AT             0
                 MES          192
                 CHARSET        1
                 ANYKEY      
                 LET           53  64
                 MODE           3   1
                 GRAPHIC        2
                 ABILITY        6  20
                 LINE          15
                 LET           14   3
                 GOTO           1
                 DESC        

*     *          NEWLINE     

*     *          AT             1
                 EQ            14   3
                 PICTURE       13
                 EXTERN         0

*     *          AT             2
                 EQ            14   3
                 EXTERN         0

*     *          AT             3
                 MES          164

*     *          AT             4
                 MES          165

*     *          AT             5
                 MES          166

*     *          AT             6
                 EQ            14   3
                 EXTERN         0

*     *          AT             7
                 MES          168

*     *          AT             8
                 MES          169

*     *          AT             9
                 MES          170

*     *          AT            10
                 EQ            14   3
                 EXTERN         0

*     *          AT            11
                 EQ            14   3
                 EXTERN         0

*     *          AT            12
                 MES          173

*     *          AT            13
                 MES          174

*     *          AT            14
                 MES          175

*     *          AT            15
                 MES          176

*     *          AT            16
                 EQ            14   3
                 EXTERN         0

*     *          AT            17
                 EQ            14   3
                 EXTERN         0

*     *          AT            18
                 EQ            14   3
                 EXTERN         0

*     *          AT            19
                 EQ            14   3
                 EXTERN         0

*     *          AT            20
                 MES          181

*     *          AT            21
                 MES          182

*     *          AT            23
                 EQ            14   3
                 EXTERN         0

*     *          AT            24
                 EQ            14   3
                 EXTERN         0

*     *          AT            25
                 EQ            14   3
                 EXTERN         0

*     *          AT            22
                 MES          183

*     *          AT            26
                 EQ            14   3
                 EXTERN         0

*     *          AT            27
                 MES          188

*     *          AT            28
                 MES          189

*     *          AT            29
                 EQ            14   3
                 EXTERN         0

*     *          AT            30
                 EQ            14   3
                 EXTERN         1

*     *          AT            23
                 MES          184

*     *          AT            23
                 ABSENT         1
                 MES           57
                 PAUSE        200
                 GOTO          22
                 DESC        

*     *          AT            31
                 MES           53
                 GRAPHIC        1
                 END         

*     *          AT            30
                 MES          191

*     *          AT             8
                 EQ            20   0
                 MES           29

*     *          AT             8
                 EQ            20   1
                 MES           30

*     *          AT             4
                 EQ            21   1
                 MES           33

*     *          AT             8
                 EQ            20   2
                 MES           27

*     *          LET           12   0

*     *          AT            33
                 GRAPHIC        1
                 END         

*     *          AT            23
                 MES           58

*     *          AT             2
                 MES          163

*     *          AT             6
                 MES          167

*     *          AT            10
                 MES          171

*     *          AT            11
                 MES          172

*     *          AT            16
                 MES          177

*     *          AT            18
                 MES          179

*     *          AT            19
                 MES          180

*     *          AT             1
                 MES          162

*     *          AT            24
                 MES          185

*     *          AT            25
                 MES          186

*     *          AT            26
                 MES          187

*     *          AT            29
                 MES          190

*     *          AT            30
                 EQ            16   1
                 MES           32

*     *          AT            17
                 MES          178

*     *          NOTAT         15
                 CHANCE         4
                 MES          123

*     *          CHANCE         3
                 MES          124

*     *          EQ            11   0
                 CHANCE        10
                 LET           12   1
                 MES           34

*     _          ZERO           0
                 ABSENT         0
                 LISTOBJ     

*     _          PRESENT        0
                 LISTOBJ     


--------------------------------------------------------------------------

PROCESS   2
-----------

--------------------------------------------------------------------------

PROCESS   3
-----------
*     *          PARSE       

COGE  MOSCA      EQ            12   1
                 EQ            11   0
                 MES            3
                 MES           25
                 LET           11   1
                 LET           12   0
                 DONE        

COGE  MOSCA      MES            3
                 MES           46
                 DONE        

PON   MOSCA      EQ            11   1
                 MES            3
                 MES           27
                 DONE        

DAR   MOSCA      EQ            11   2
                 LET           11   3
                 MES            3
                 MES           17
                 CREATE        10
                 GET           10
                 DONE        

DAR   MOSCA      EQ            11   1
                 MES            3
                 MES           48
                 LET           11   0
                 LET           12   0
                 DONE        

DAR   BOLA       MES            3
                 MES           27
                 DONE        

AYUDA _          MES            3
                 MES           24
                 DONE        

MATA  MOSCA      EQ            11   1
                 MES            3
                 MES           26
                 LET           11   2
                 DONE        

COME  MOSCA      GT            11   0
                 NOTEQ         11   4
                 MES            3
                 MES          129
                 LET           11   4
                 DONE        

_     _          MES            3
                 PROCESS        8
                 DONE        


--------------------------------------------------------------------------

PROCESS   4
-----------
*     *          PARSE       

DAR   CRUZ       EQ            13   0
                 LET           13   1
                 MES            1
                 MES           17
                 CREATE         1
                 GET            1
                 DONE        

AYUDA _          MES            1
                 MES           18
                 DONE        

_     _          MES            1
                 PROCESS        8
                 DONE        


--------------------------------------------------------------------------

PROCESS   5
-----------
*     *          PARSE       

DAR   ANILL      EQ            15   0
                 CREATE         3
                 LET           15   1
                 MES            5
                 MES           19
                 GET            3
                 DONE        

AYUDA _          MES            5
                 MES          113
                 DONE        

COMO  PRINC      MES            5
                 MES           20
                 DONE        

_     _          MES            5
                 MES            8
                 DONE        


--------------------------------------------------------------------------

PROCESS   6
-----------
*     *          PARSE       

COGE  MONED      PRESENT        2
                 DESTROY        2
                 LET           17   1
                 MES            4
                 MES           51
                 DONE        

COGE  MONED      MES            4
                 MES           52
                 DONE        

AYUDA _          MES            4
                 MES           21
                 DONE        

ABRE  PUERT      EQ            17   0
                 MES            4
                 MES           22
                 DONE        

ABRE  PUERT      EQ            18   0
                 LET           18   1
                 MES            4
                 MES           23
                 DONE        

ABRE  PUERT      MES            4
                 MES           50
                 DONE        

CIERR PUERT      EQ            17   0
                 MES            4
                 MES           22
                 DONE        

CIERR PUERT      EQ            18   1
                 LET           18   0
                 MES            4
                 MES           23
                 DONE        

CIERR PUERT      MES            4
                 MES           50
                 DONE        

_     _          MES            4
                 PROCESS        8
                 DONE        


--------------------------------------------------------------------------

PROCESS   7
-----------
*     *          PARSE       

COGE  POLVO      PRESENT        4
                 DESTROY        4
                 LET           16   1
                 MES           59
                 DONE        

_     *          EQ            16   1
                 MES            2
                 MES           49
                 DONE        

_     _          MES            2
                 MES           28
                 DONE        


--------------------------------------------------------------------------

PROCESS   8
-----------
COGE  _          MES           12
                 DONE        

PON   _          MES           27
                 DONE        

HOLA  _          MES            7
                 DONE        

ADIOS _          MES            8
                 DONE        

DAR   ALGO       MES            9
                 DONE        

DAR   _          MES           13
                 DONE        

AYUDA _          MES           14
                 DONE        

MATA  _          MES           12
                 DONE        

VE    _          MES           12
                 DONE        

COME  _          MES           12
                 DONE        

CIERR _          MES           10
                 DONE        

DESCI PAPIR      MES           11
                 DONE        

_     _          MES           15
                 DONE        


--------------------------------------------------------------------------

PROCESS   9
-----------
LEE   BOCA       AT             3
                 MES           66
                 DONE        

LEE   BOCA       AT             9
                 MES           66
                 DONE        

LEE   BOCA       AT             7
                 MES           66
                 DONE        

LEE   BOCA       MES           67
                 DONE        


--------------------------------------------------------------------------

PROCESS  10
-----------
LEE   LENGU      AT             7
                 EQ            24   0
                 MES           65
                 DONE        

LEE   LENGU      AT             3
                 MES           68
                 DONE        

LEE   LENGU      AT             7
                 MES           68
                 DONE        

LEE   LENGU      AT             9
                 MES           68
                 DONE        

LEE   LENGU      MES           67
                 DONE        


--------------------------------------------------------------------------

PROCESS  11
-----------
LEE   ALCE       AT             7
                 MES           69
                 DONE        

LEE   ALCE       AT             9
                 MES           69
                 DONE        

LEE   ALCE       AT             3
                 MES           69
                 DONE        

LEE   ALCE       MES           67
                 DONE        


--------------------------------------------------------------------------

PROCESS  12
-----------
MATA  RATA       NOUN2         62
                 AT             4
                 PRESENT       13
                 EQ            21   1
                 LET           21   0
                 MES           73
                 CREATE        11
                 DONE        

MATA  RATA       NOUN2         62
                 ABSENT        13
                 SYSMESS       28
                 DONE        

MATA  RATA       NOUN2         62
                 MES           71
                 DONE        

MATA  RATA       MES           70
                 DONE        


--------------------------------------------------------------------------

PROCESS  13
-----------
*     *          PARSE       

COGE  RATA       CARRIED       11
                 DESTROY       11
                 MES           74
                 CREATE         7
                 DONE        

_     _          MES            6
                 DONE        


--------------------------------------------------------------------------

PROCESS  14
-----------
N     _          MES           60
                 MES           63
                 LET           23   0
                 PAUSE        150
                 GOTO           9
                 DESC        

COGE  ESCUD      PRESENT       13
                 GET           13
                 DONE        

DI    SALIG      PROCESS        7
                 DONE        

_     _          MES            2
                 MES           28
                 DONE        


--------------------------------------------------------------------------

PROCESS  15
-----------
*     *          NOTAT          8
                 DROP          10
                 DONE        

PON   MOSCA      NOUN2         84
                 AT             8
                 PRESENT       10
                 EQ            20   0
                 DESTROY       10
                 LET           20   1
                 MES           83
                 DONE        

PON   MOSCA      NOUN2         84
                 ABSENT        10
                 SYSMESS       28
                 DONE        

PON   MOSCA      MES           89
                 DONE        


--------------------------------------------------------------------------

PROCESS  16
-----------
*     *          MES           91

*     *          PAUSE         20

*     *          MES           90

*     *          PAUSE         20

*     *          MES           90

*     *          PAUSE         20

*     *          MES           90

*     *          PAUSE         20

_     _          DESC        
                 DONE        


--------------------------------------------------------------------------

PROCESS  17
-----------
*     *          NOUN2         56
                 MES           93
                 DONE        

*     *          NOUN2         30
                 MES           94
                 DONE        

*     *          NOUN2         54
                 MES           95
                 DONE        

*     *          NOUN2         85
                 MES           96
                 DONE        

_     _          MES           97
                 DONE        


--------------------------------------------------------------------------

PROCESS  18
-----------
*     *          EQ            26   0
                 MES          102
                 DONE        

*     *          MES           99
                 DONE        


--------------------------------------------------------------------------

PROCESS  19
-----------
_     PATAS      PRESENT        6
                 LET           51   6
                 PUTO          32
                 PLUS          27   1
                 MES          104
                 DONE        

_     PATAS      ABSENT         6
                 DROP           6
                 DONE        

_     RESTO      PRESENT        8
                 LET           51   8
                 PUTO          32
                 PLUS          27   1
                 MES          104
                 DONE        

_     RESTO      ABSENT         8
                 DROP           8
                 DONE        

_     PELOS      PRESENT       14
                 LET           51  14
                 PUTO          32
                 PLUS          27   1
                 MES          104
                 DONE        

_     PELOS      ABSENT        14
                 DROP          14
                 DONE        

_     _          NOUN2         58
                 PRESENT        6
                 LET           51   6
                 PUTO          32
                 MES          104
                 PLUS          27   1
                 DONE        

_     _          NOUN2         58
                 ABSENT         6
                 DROP           6
                 DONE        

_     _          NOUN2         60
                 PRESENT        8
                 LET           51   8
                 PUTO          32
                 MES          104
                 PLUS          27   1
                 MES          104
                 DONE        

_     _          NOUN2         60
                 ABSENT         8
                 DROP           8
                 DONE        

_     _          NOUN2         70
                 PRESENT       14
                 LET           51  14
                 PUTO          32
                 MES          104
                 PLUS          27   1
                 DONE        

_     _          NOUN2         70
                 ABSENT        14
                 DROP          14
                 DONE        

_     _          MES          103
                 DONE        


--------------------------------------------------------------------------

GRAPHICS DATA
-------------
Location   0 graphics flags: Subroutine. Ink=7 Paper=1 Bit6=0

Location   1 graphics flags: Picture.    Ink=7 Paper=0 Bit6=0
     PAPER       000
     INK         003
     BLOCK       021  031  000  000 
     PLOT        038  169 
     LINE        000 -107 
     LINE        137  000 
     PLOT        200  062 
     LINE        017  000 
     LINE        000  107 
     LINE       -179  000 
     PLOT        166  062 
     LINE        040  000 
     PLOT        219  060 
     LINE        000  111 
     LINE       -183  000 
     LINE        000 -111 
     LINE        183  000 
     PLOT        038  169 
     END

Location   2 graphics flags: Picture.    Ink=7 Paper=0 Bit6=0
     LINE        000  000 
     GOSUB    sc=000  001 
     INK         000
     LINE        000  000 
     LINE        000  000 
     INK         000
     PLOT        072  064 
     LINE        143  034 
     PLOT        041  071 
     LINE        174  032 
     PLOT        046  081 
     LINE        004 -002 
     LINE        004 -001 
     LINE        006 -001 
     LINE        006  002 
     LINE        003  003 
     LINE       -001  008 
     LINE       -004 -002 
     LINE       -006 -001 
     LINE       -005  001 
     LINE       -005  001 
     LINE       -002 -007 
     PLOT        048  089 
     LINE        002  002 
     LINE        007 -002 
     LINE        008  001 
     LINE        001  001 
     LINE        001 -001 
     PLOT        066  091 
     LINE       -001  006 
     LINE       -006 -001 
     LINE       -007  001 
     LINE       -001 -006 
     PLOT        053  098 
     LINE        001  001 
     LINE        005 -001 
     LINE        005  001 
     LINE        001 -002 
     PLOT        054  100 
     LINE        000  058 
     LINE        005  001 
     LINE        005 -001 
     LINE        000 -058 
     PLOT        054  158 
     LINE       -002  001 
     LINE       -002  003 
     LINE        000  002 
     PLOT        048  164 
     LINE        006  001 
     LINE        007  000 
     LINE        007 -001 
     LINE       -004 -005 
     PLOT        069  164 
     LINE        001  002 
     LINE       -006  001 
     LINE       -009  000 
     LINE       -008 -001 
     LINE        001 -002 
     PLOT        047  167 
     LINE       -003  000 
     PLOT        060  096 
     LINE        001 -006 
     PLOT        061  088 
     LINE        001 -010 
     PLOT        056  096 
     LINE       -002 -006 
     PLOT        054  088 
     LINE       -002 -009 
     PLOT        068  167 
     PLOT        087  087 
     LINE        008 -002 
     LINE        004 -001 
     LINE        002 -001 
     LINE        001 -011 
     PLOT        110  089 
     LINE        003 -001 
     LINE        002 -001 
     LINE        007  001 
     LINE        003  001 
     LINE       -001  006 
     LINE       -006 -001 
     LINE       -003  000 
     LINE       -004  001 
     LINE       -001 -004 
     PLOT        111  095 
     LINE        002  002 
     LINE        004 -001 
     LINE        006  001 
     LINE        000 -001 
     PLOT        122  097 
     LINE        000  003 
     LINE       -004 -001 
     LINE       -003  001 
     LINE       -001 -003 
     PLOT        115  100 
     LINE        000  051 
     PLOT        122  100 
     LINE        000  051 
     LINE       -004  001 
     LINE       -003 -001 
     LINE       -002  003 
     LINE       -001  004 
     LINE        007  001 
     LINE        006 -001 
     LINE       -003 -007 
     PLOT        112  158 
     LINE       -001  002 
     PLOT        151  095 
     LINE        002 -001 
     LINE        002 -001 
     LINE        006  001 
     LINE       -001  006 
     LINE       -004 -001 
     LINE       -004  001 
     LINE       -001 -005 
     PLOT        152  100 
     LINE        002  002 
     LINE        003 -001 
     LINE        002  001 
     LINE        001 -002 
     PLOT        159  103 
     LINE        000  044 
     PLOT        154  103 
     LINE        000  045 
     LINE        003  001 
     LINE        002 -001 
     LINE        002  003 
     LINE        001  002 
     PLOT        153  148 
     LINE       -002  007 
     PLOT        178  099 
     LINE        000  000 
     LINE        003 -001 
     LINE        005  001 
     LINE       -001  005 
     LINE       -003 -001 
     ABS MOVE    182  103 
     LINE       -003  001 
     LINE       -001 -005 
     PLOT        180  105 
     LINE        000  040 
     PLOT        185  105 
     LINE        000  040 
     PLOT        179  151 
     LINE        001 -006 
     LINE        003 -001 
     LINE        003  001 
     LINE        001  004 
     PLOT        201  147 
     LINE        001 -004 
     LINE        002 -001 
     LINE        003  001 
     LINE        001  004 
     PLOT        206  142 
     LINE        000 -035 
     LINE        001 -004 
     LINE       -003 -001 
     LINE       -003  000 
     LINE       -002  001 
     LINE        002  004 
     LINE        002 -001 
     LINE        003  001 
     PLOT        202  107 
